name,Type,effect,component,group,term,estimate,std.error,statistic,p.value
MFA,FA index,ran_pars,cond,Location,sd__(Intercept),0.19950868561335028,NA,NA,NA
MFA,FA index,ran_pars,cond,ID,sd__TreatmentControl,3.0715182712541663e-4,NA,NA,NA
MFA,FA index,ran_pars,cond,ID,sd__TreatmentImpact,0.3279072945470726,NA,NA,NA
MFA,FA index,ran_pars,cond,ID,cor__TreatmentControl.TreatmentImpact,0,NA,NA,NA
PUFA,FA index,fixed,cond,NA,(Intercept),-1.1139773635285215,0.5989998782737594,-1.8597288646182382,0.06292389608264663
PUFA,FA index,fixed,cond,NA,SeasonQ320,-1.005444900493228,0.2724749125615937,-3.6900457772087347,2.2421370097934113e-4
PUFA,FA index,fixed,cond,NA,SeasonQ419,0.10742445668494206,0.17993724577157177,0.5970106757181121,0.5505002530201336
PUFA,FA index,fixed,cond,NA,SeasonQ420,-0.9946793857976386,0.25270727282342126,-3.936093230259617,8.281880989936144e-5
PUFA,FA index,fixed,cond,NA,TreatmentImpact,0.2724876431951699,0.1619952105485815,1.6820722185082893,0.09255483676461393
PUFA,FA index,fixed,cond,NA,Sexmale,0.08167062156546717,0.13474246352008107,0.6061238560722586,0.5444325106243082
PUFA,FA index,fixed,cond,NA,Maturitymature,0.16075793505088293,0.16488375637654087,0.9749773936722068,0.3295714736693758
PUFA,FA index,fixed,cond,NA,Age,-0.054272883531831684,0.034115891655730035,-1.5908387820992544,0.1116458625399948
PUFA,FA index,fixed,cond,NA,Fulton,0.19669379219033703,0.5738063645232365,0.34278774923273236,0.7317581428967574
PUFA,FA index,ran_pars,cond,Location,sd__(Intercept),9.528223351964638e-5,NA,NA,NA
PUFA,FA index,ran_pars,cond,ID,sd__TreatmentControl,5.712799568824001e-5,NA,NA,NA
PUFA,FA index,ran_pars,cond,ID,sd__TreatmentImpact,0.25759140353227694,NA,NA,NA
PUFA,FA index,ran_pars,cond,ID,cor__TreatmentControl.TreatmentImpact,0,NA,NA,NA
Oleic,FA,fixed,cond,NA,(Intercept),-2.3348703496820686,NA,NA,NA
Oleic,FA,fixed,cond,NA,SeasonQ320,-0.5717270756577212,NA,NA,NA
Oleic,FA,fixed,cond,NA,SeasonQ419,-0.30408690847728714,NA,NA,NA
Oleic,FA,fixed,cond,NA,SeasonQ420,-0.6279854893392743,NA,NA,NA
Oleic,FA,fixed,cond,NA,TreatmentImpact,0.29571668504433635,NA,NA,NA
Oleic,FA,fixed,cond,NA,Sexmale,-0.058905684807014864,NA,NA,NA
Oleic,FA,fixed,cond,NA,Maturitymature,0.03690470549537783,NA,NA,NA
Oleic,FA,fixed,cond,NA,Age,0.04068219255911641,NA,NA,NA
Oleic,FA,fixed,cond,NA,Fulton,0.8988787048761417,NA,NA,NA
Oleic,FA,ran_pars,cond,Location,sd__(Intercept),1.4393964311123364e-8,NA,NA,NA
Oleic,FA,ran_pars,cond,ID,sd__TreatmentControl,0.0018774388222669355,NA,NA,NA
Oleic,FA,ran_pars,cond,ID,sd__TreatmentImpact,0.40144392812833646,NA,NA,NA
