ID,Season,Location,Fjord,Treatment,Sex,Maturity,Age,Fulton,name,value,Type
F_134,Q419,Olderfjord,Olderfjord,Control,female,mature,5,1.11620005013325,MFA,47.0496122859,FA index
F_134,Q419,Olderfjord,Olderfjord,Control,female,mature,5,1.11620005013325,PUFA,21.1256395519,FA index
F_134,Q419,Olderfjord,Olderfjord,Control,female,mature,5,1.11620005013325,Oleic,18.328786152,FA
F_134,Q419,Olderfjord,Olderfjord,Control,female,mature,5,1.11620005013325,Linoleic,2.0056431305,FA
F_134,Q419,Olderfjord,Olderfjord,Control,female,mature,5,1.11620005013325,Linolenic,0.9512705498,FA
F_134,Q419,Olderfjord,Olderfjord,Control,female,mature,5,1.11620005013325,Docosahexaenoic,10.6412058981,FA
F_134,Q419,Olderfjord,Olderfjord,Control,female,mature,5,1.11620005013325,Eicosapentaenoic,5.9234886501,FA
F_134,Q419,Olderfjord,Olderfjord,Control,female,mature,5,1.11620005013325,Arachidonic,0.3067222512,FA
F_136,Q419,Olderfjord,Olderfjord,Control,female,mature,5,0.9513370326181604,w3,27.8271368452,FA index
F_136,Q419,Olderfjord,Olderfjord,Control,female,mature,5,0.9513370326181604,w6,4.8056882402,FA index
F_136,Q419,Olderfjord,Olderfjord,Control,female,mature,5,0.9513370326181604,SFA,25.303686432800003,FA index
F_136,Q419,Olderfjord,Olderfjord,Control,female,mature,5,0.9513370326181604,MFA,43.1969016554,FA index
F_136,Q419,Olderfjord,Olderfjord,Control,female,mature,5,0.9513370326181604,PUFA,31.499411911800003,FA index
F_136,Q419,Olderfjord,Olderfjord,Control,female,mature,5,0.9513370326181604,Oleic,16.1520692108,FA
F_136,Q419,Olderfjord,Olderfjord,Control,female,mature,5,0.9513370326181604,Linoleic,1.9520464773,FA
F_136,Q419,Olderfjord,Olderfjord,Control,female,mature,5,0.9513370326181604,Linolenic,0.8186333037,FA
