ID,fisk_id1,fisk_id2,Longitude,Latitude,Season,Date,Fjord,Distance_farm,Treatment,Treatment_2,Farm,Length_cm,Weight_g,Gonade_g,Length,Weight,Liver,Gonad,Stomach,Ovarie,Code_sex_maturity,Maturity,Sex,nitrogen,dorsal fin,otolitt,redskap_Norw,Sampling_gear,Age,Age_first_spawn,Spawning_zones,pan1,pan2,NEAC,CC,Genotype,FA_G,FA_M,FA_L,Lauric,Tridecanoic,Myristic,Myristoleic,Pentadecanoic,Palmitic,Palmitoleic,Heptadecanoic,cis_10_Heptadecenoic,Stearic,Elaidic,Oleic,Vaccenic,Linoleic,Arachidic,g_Linolenic_Acid,cis_11_Eicosenoic,Linolenic,Eicosadienoic,Behenic,Eicosatrienoic_3n6,Erucic,Eicosatrienoic_3n3,Arachidonic,Docosadienoic,Lignoceric,Eicosapentaenoic,Nervonic,Docosatetraenoic,Docosapentaenoic,Docosahexaenoic
F_212,WP3-212,20-B-16,21.81979,70.19185,Q220,13/05/2020,Bergsfjord,0,Impact,Impact,1,58,2060,6,58,2060,219,6,51,1,immature_female_berg,immature,female,1,1,1,Jukse,hooks,5,NA,NA,A,B,0.00,1.00,CC,1,1,1,0.0155421382,1.6516295803,2.2743044426,0.0208849429,0.2624525445,10.2244706285,3.5030057704,0.2025797247,0.0195468312,3.3171437268,0.3770000987,49.5565622782,4.7115590579,0.0329984747,0.0255458228,0.0597320817,0.5536738227,8.5050580138,0.0743724249,0.0152110084,0.08880694,0.0472169363,0.2018678212,0.5011280607,0.0266907209,0.0254464935,6.3185438663,0.2022151538,0.0212480844,0.0487132418,7.1148492673
F_213,WP3-213,20-B-17,21.81979,70.19185,Q220,13/05/2020,Bergsfjord,0,Impact,Impact,1,54.5,1472,8,54.5,1472,138,8,31,1,immature_female_berg,immature,female,1,1,1,Jukse,hooks,4,NA,NA,A,B,0.01,0.99,CC,1,1,1,0,1.844213563,1.712052346,0.0169080398,0.185214715,9.0880580459,3.1264809845,0.1752766995,0.235948011,2.9786422271,0.0922152258,39.9657748849,4.1789141516,16.4625407249,0.1623453447,0.0691773651,0.1105900391,6.4280100087,0.4773192165,0.0570314294,0.056161734,0.3419611831,0.1161827083,0.3362322306,0.3701483188,0.0155146374,4.7571551329,0.2710652899,0.0097457289,0.0317942032,6.3273258103
F_214,WP3-214,20-B-18,21.81979,70.19185,Q220,13/05/2020,Bergsfjord,0,Impact,Impact,1,51.5,1277,5,51.5,1277,101,5,45,1,immature_female_berg,immature,female,1,1,1,Jukse,hooks,3,NA,NA,A,B,0.00,1.00,CC,1,1,1,0,3.0608024957,1.9167935944,0.0158592299,0.0984216925,9.0237085146,2.8402330465,0.1585243426,0.1415059214,3.167606372,0.0857020355,36.4810988468,3.6205296437,17.8963981046,0.1337962125,0.0747579696,0.0999391188,7.6280349791,0.536277136,0.0443115659,0.0909085215,0.2447121804,0.148029702,0.4202590735,0.3673868673,0.0202235456,5.0099846603,0.1704711683,0.0129960432,0.0364431151,6.4542843007
F_215,WP3-215,20-B-19,21.81979,70.19185,Q220,13/05/2020,Bergsfjord,0,Impact,Impact,1,50.5,1194,,50.5,1194,78,NA,44,NA,immature_male_berg,immature,male,1,1,1,Jukse,hooks,4,NA,NA,A,B,1.00,0.00,NEAC,0,1,1,0.0127029115,3.3178895521,2.4606422759,0.0238765458,0.3251166989,9.0303172568,3.6578719394,0.1695473668,0.2561368373,2.4536757459,0.5419848671,38.5059292839,4.8763327822,15.1149541779,0.0901324657,0.069023318,0.6534868247,4.9350278828,1.5674107221,0.0130753988,0.1007718089,0.1946931011,0.2453884037,0.4491410874,0.4003165745,0.0086378232,5.7946171321,0.1103951098,0.0077645372,0.0537778687,4.5593616995
F_216,WP3-216,20-B-20,21.81979,70.19185,Q220,13/05/2020,Bergsfjord,0,Impact,Impact,1,50,1236,,50,1236,52,NA,123,NA,immature_male_berg,immature,male,1,1,1,Jukse,hooks,5,NA,NA,A,B,0.74,0.26,CC,0,1,1,0,2.8764634846,2.5386390371,0.0250387736,0.2353426281,12.4026813016,3.995913383,0.2121618826,0.1416502111,4.5029669512,0.1539128121,25.4768766193,4.6058692912,9.4939666383,0.1442606207,0.0493905504,3.070211575,3.4419995783,1.4604923473,0.0479234686,0.3587069364,0.2355332563,0.4505891788,1.0355448795,0.7195293862,0.0755524087,7.8006154991,0.3148559406,0.1895451016,0.2689332716,13.6748329872
F_217,WP3-217,20-B-21,21.81979,70.19185,Q220,13/05/2020,Bergsfjord,0,Impact,Impact,1,44.5,908,4,44.5,908,37,4,59,1,immature_female_berg,immature,female,1,1,1,Jukse,hooks,3,NA,NA,A,B,0.00,1.00,CC,1,1,1,0.0193104476,3.4332309763,2.7462970053,0.0189940914,0.2264574775,8.9596027142,3.9230033544,0.152559695,0.1630135407,2.3493946906,0.0694176992,33.6590927654,3.8259155856,15.8814203933,0.0953468906,0.0566431788,0.1080757117,6.2518414617,0.4791917964,0.0582128527,0.0831738219,0.320206083,0.1252002071,0.4824704518,0.5053947099,0.0667840889,6.5952678055,0.1778123677,0.0159286047,0.0440747057,9.1066648257
F_218,WP3-218,20-B-22,21.81979,70.19185,Q220,13/05/2020,Bergsfjord,0,Impact,Impact,1,55.5,1632,,55.5,1632,89,NA,56,NA,immature_male_berg,immature,male,1,1,1,Jukse,hooks,4,NA,NA,A,B,0.05,0.95,CC,0,1,1,0.0149153371,3.2488477169,2.2357961021,0.0269418799,0.2010378175,9.7987052372,3.6754829321,0.142718621,0.1622601989,2.6747823443,0.0790031263,33.5788544135,3.8153786418,16.117122918,0.1173472331,0.092163746,3.0327668386,6.8072867203,0.5181940355,0.0184237818,0.0943564997,0.2467802154,0.1336495191,0.4769516611,0.3837530497,0.0157597609,5.4790350586,0.1975947704,0,0.0355403309,6.5785494925
F_220,WP3-220,20-B-24,21.793226,70.21833,Q220,19/05/2020,Bergsfjord,3113.2036117016,Control,Control,0,68,2565,27,68,2565,114,27,41,1,mature_female_berg,mature,female,1,1,1,Garn,gillnet,7,6,1,A,A,0.17,0.83,CC,1,1,1,0.0430055544,4.1390797552,4.8044822227,0.0917698546,0.4864021603,14.6937366551,8.7695840424,0.2201289942,0.4887117843,2.5406887594,0.1613503651,22.5968157929,7.0168146894,1.9530010637,0.1138410265,0.0486037165,13.6712698199,0.6836465822,0.4014479931,0.0886775927,0.0606362833,0.7080299687,0.1450936339,0.6275940412,0.5550570139,0.0077667016,5.4052333819,0.3574859006,0.0206781072,0.0881664487,9.0112000944
F_225,WP3-225,20-B-29,21.818739,70.182689,Q320,07/07/2020,Bergsfjord,1020.5685867475,Impact,Impact,0,56,1340,,56,1340,20,NA,43,NA,immature_male_berg,immature,male,1,1,1,Jukse,hooks,5,NA,NA,A,B,0.00,1.00,CC,0,1,1,0,7.9151801404,7.5492968791,0.08527777,0.6770333498,18.9197521007,9.9645310863,0.1673118631,0.3830964564,4.2913531067,0.1575283884,15.9557631743,6.5490025706,1.9143968517,0.1583297402,0.0397330278,11.5533662823,0.5321795131,0.3638723191,0,0.056160708,0.9171799595,0.1668218709,0.7699410959,0.3179963924,0.0344415535,3.4958649249,1.0704784376,0.0440056293,0.0814899433,5.8686148647
F_226,WP3-226,20-B-30,21.818739,70.182689,Q320,07/07/2020,Bergsfjord,1020.5685867475,Impact,Impact,0,41.5,700,,41.5,700,14,NA,10,NA,immature_male_berg,immature,male,1,1,1,Jukse,hooks,3,NA,NA,A,B,0.00,1.00,CC,0,1,1,0.0472068825,5.5717786491,8.3452643577,0.0875659887,0.64404089,19.1904434538,9.745163004,0.3626220745,0.4358747335,4.1950067398,0.2972371089,16.497610804,6.0210240861,1.8420852172,0.1672237898,0.0211402637,19.2164527511,0.4304900871,0.3591682737,0.0330888444,0.0550750205,1.2342034527,0.1549184146,0.2782010331,0.2037667461,0.0238493043,1.55158433,0.9802273152,0.0169892611,0.0514727025,1.9392244203
