ID,Season,Location,Fjord,Treatment,Sex,Maturity,Age,Fulton,w3,w6,SFA,MFA,PUFA,Oleic,Linoleic,Linolenic,Docosahexaenoic,Eicosapentaenoic,Arachidonic
F_244,Q320,Bergsfjord,Bergsfjord,Impact,male,immature,3,0.9055806406983032,16.100700557899998,4.450443645299999,46.3323099154,34.533352894100005,19.1343371904,12.1662575141,1.8966110336,0.4798040208,9.5519010154,4.3095379528,1.714498271
F_245,Q320,Bergsfjord,Bergsfjord,Impact,male,immature,3,0.828125,8.1075702993,3.2348569379,55.3995300864,34.17178329159999,10.428686622,12.3031042317,1.1472038031,0.2334631879,3.8438538232,2.8731193429,1.5350191775
F_246,Q320,Bergsfjord,Bergsfjord,Impact,female,immature,3,0.8739189804278562,2.9488429806000003,2.1538639958,47.355058572299995,48.720321449,3.924619979,13.1809701124,1.453944994,0.2758579966,0.5655417741,0.7039675696,0.1233468254
F_248,Q320,Bergsfjord,Bergsfjord,Impact,male,immature,3,0.7689963871679169,17.4960199179,4.7814047788,38.96289099999999,40.55660384670001,20.4805051533,11.083007994999999,2.7268395019,0.9299199585,9.4456980714,5.1527284471,0.691610393
F_252,Q420,Bergsfjord,Bergsfjord,Impact,male,immature,2,0.8705218220977188,6.5610458565,3.3493001966,50.0888947915,40.822239921000005,9.0888652874,14.4175358136,1.1424525733,0.3209718076,2.2277287858,2.647438809,0.9933261872
F_253,Q420,Bergsfjord,Bergsfjord,Impact,male,immature,5,0.9133610833233808,7.507475418,4.4301483796999985,51.03879967620001,38.5782973355,10.3829029883,11.4746073108,1.9808513279,0.4261305185,1.7804910115,3.2092007229,0.7564321758
F_254,Q420,Bergsfjord,Bergsfjord,Impact,male,immature,4,0.988709593953286,17.7729087269,5.8217316499,48.24183783299999,29.696226281700003,22.0619358855,11.1163865953,1.9960130448,0.4633085535,8.1432192197,6.8323607311,2.6788440991
F_260,Q420,Bergsfjord,Bergsfjord,Impact,male,immature,4,0.930428249436514,0.9669359543,1.7177631591000002,49.60376505829999,48.4142720954,1.9819628464000003,17.3033944059,0.7768307516,0.0740944846,0.0556244221,0.1211160973,0.0198802747
F_291,Q420,Bergsfjord,Bergsfjord,Impact,female,mature,7,0.7352742684375337,15.3932839147,4.402321173,57.2604066248,23.300539046499996,19.439054328700003,8.7660955612,0.5319454963,0.1753947373,9.2733355257,5.4202190265,3.1947006412
F_292,Q420,Bergsfjord,Bergsfjord,Impact,male,immature,3,0.7342619587517547,4.681321953199999,2.1653019124999995,51.2528326404,42.8992263872,5.8479409724,11.6938483253,1.4363416932,0.4376587999,2.1388120375,0.8274732022,0.1861396403
F_293,Q420,Bergsfjord,Bergsfjord,Impact,male,mature,11,0.7345779016557955,2.5437735582,2.5145036697000003,41.444065739600006,54.58493557319999,3.9709986871,22.6775235532,1.4858235318,0.398544991,0.4822866553,0.5286750177,0.0492175628
F_294,Q420,Bergsfjord,Bergsfjord,Impact,male,immature,2,0.8380446345164234,22.4776450089,6.112129048299999,46.9264389586,25.1723199753,27.901241066,8.3872188039,1.0969836877,0.4084506965,13.7137402409,7.1544495804,3.5735036946
F_296,Q420,Bergsfjord,Bergsfjord,Impact,female,mature,4,0.8432423859265753,28.8003407782,4.6920911707999995,29.782939836200004,36.6810372729,33.5360228908,14.8096608522,2.0777738307,2.1213647725,18.5405474323,7.6740419937,0.4946213965
F_297,Q420,Bergsfjord,Bergsfjord,Impact,female,immature,2,0.7847065698305368,4.1642002148,1.4555662367,62.6256385044,32.1376360264,5.2367254691,13.5475000209,0.5747218656,0.1916808832,2.2572107459,1.220890404,0.5337866981
F_303,Q420,Frakkfjord,Frakkfjord,Control,male,mature,11,0.937997256515775,15.7438966446,3.5728130561,33.2053889322,48.5336439946,18.2609670732,19.3021593084,2.0973715727,1.0416289452,7.6972722185,5.8177296648,0.4040754165
F_37,Q419,Outer Bergsfjord,Bergsfjord,Control,male,mature,5,0.8760134004285166,30.1869730105,8.3909223509,32.2605545808,31.1191839596,36.6202614595,19.3259613807,2.6018183831,0.6441844812,14.5451581278,12.8086106904,0.6734885428
F_38,Q419,Outer Bergsfjord,Bergsfjord,Control,male,mature,4,0.8969254387908338,36.3040492738,4.7494483266000005,33.2130403532,27.645484643100005,39.14147500360001,16.4822855771,2.4136584261,0.5016358293,22.5386311214,11.1997215865,0.6893723002
F_41,Q419,Outer Bergsfjord,Bergsfjord,Control,male,immature,3,0.8313593294460642,14.563613537599998,4.1901912957,44.9178155564,37.333675321399994,17.7485091222,12.0313564486,1.9326028922,0.9273071811,5.5767932899,6.877042318,0.5696277103
F_42,Q419,Outer Bergsfjord,Bergsfjord,Control,male,immature,3,0.8176931486880467,33.1698846433,6.675221761999999,33.11524901889999,28.8073907579,38.077360223,17.1986544764,2.5888561714,0.8211099891,17.2979799589,13.0714632057,0.8967399278
F_45,Q419,Outer Bergsfjord,Bergsfjord,Control,female,immature,5,0.9230366253644317,24.973743977900003,6.832094786800001,39.2212937833,30.923997915899996,29.8547083008,6.131830555,2.5509905021,0.5998600382,5.4381989598,16.6676979757,0.9933886446
F_47,Q419,Outer Bergsfjord,Bergsfjord,Control,male,immature,3,0.8992,12.3817032042,3.1516830779000005,45.3918195303,40.194007507,14.4141729629,13.9844986886,1.6155824255,0.4963691063,5.789214373,4.8087499886,0.4801466285
F_48,Q419,Outer Bergsfjord,Bergsfjord,Control,male,mature,4,0.835752772258471,35.6255060574,5.9774604772,32.17072928779999,27.931023333699997,39.8982473783,17.7886524897,2.0845361949,0.3798170386,22.2182309317,11.1515299114,0.6794734679
